sudo: a password is required
Currently logged in as: t4r3k (t4r3k-carleton-university). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.5
wandb: Run data is saved locally in /home/library/workspace/mlos/gym/0_mdpax/wandb/run-20240729_034631-wioe5rny
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-snowflake-15
wandb: ⭐️ View project at https://wandb.ai/t4r3k-carleton-university/moon
wandb: 🚀 View run at https://wandb.ai/t4r3k-carleton-university/moon/runs/wioe5rny
No saved agents found.
Time: 00h 00m 03s, Episode: 0, Steps: 10, epr: -18.0, Loss: 0.0 Score: -18.0, Done: False
Time: 00h 00m 05s, Episode: 23, Steps: 151, epr: 0.5, Loss: 0.0 Score: -5.0, Done: True
Time: 00h 00m 05s, Episode: 24, Steps: 156, epr: 0.68, Loss: 0.0 Score: 5.0, Done: True
Time: 00h 00m 05s, Episode: 25, Steps: 160, epr: 1.12, Loss: 0.0 Score: 12.0, Done: True
Time: 00h 00m 05s, Episode: 26, Steps: 170, epr: 0.444, Loss: 0.0 Score: -17.0, Done: False
Time: 00h 00m 05s, Episode: 27, Steps: 174, epr: 0.821, Loss: 0.0 Score: 11.0, Done: True
Time: 00h 00m 05s, Episode: 28, Steps: 180, epr: 1.1, Loss: 0.0 Score: 9.0, Done: True
Time: 00h 00m 05s, Episode: 29, Steps: 181, epr: 1.57, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 06s, Episode: 30, Steps: 186, epr: 1.81, Loss: 0.0 Score: 9.0, Done: True
Time: 00h 00m 06s, Episode: 31, Steps: 187, epr: 2.22, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 06s, Episode: 32, Steps: 192, epr: 2.45, Loss: 0.0 Score: 10.0, Done: True
Time: 00h 00m 06s, Episode: 33, Steps: 193, epr: 2.82, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 06s, Episode: 34, Steps: 194, epr: 3.17, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 06s, Episode: 35, Steps: 196, epr: 3.44, Loss: 0.0 Score: 13.0, Done: True
Time: 00h 00m 06s, Episode: 36, Steps: 201, epr: 3.65, Loss: 0.0 Score: 11.0, Done: True
Time: 00h 00m 06s, Episode: 37, Steps: 202, epr: 3.95, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 06s, Episode: 38, Steps: 204, epr: 4.18, Loss: 0.0 Score: 13.0, Done: True
Time: 00h 00m 06s, Episode: 39, Steps: 207, epr: 4.38, Loss: 0.0 Score: 12.0, Done: True
Time: 00h 00m 07s, Episode: 40, Steps: 210, epr: 4.54, Loss: 0.0 Score: 11.0, Done: True
Time: 00h 00m 07s, Episode: 41, Steps: 215, epr: 4.64, Loss: 0.0 Score: 9.0, Done: True
Time: 00h 00m 07s, Episode: 42, Steps: 221, epr: 4.6, Loss: 0.0 Score: 3.0, Done: True
Time: 00h 00m 07s, Episode: 43, Steps: 231, epr: 4.07, Loss: 0.0 Score: -19.0, Done: False
Time: 00h 00m 07s, Episode: 44, Steps: 241, epr: 3.58, Loss: 0.0 Score: -18.0, Done: False
Time: 00h 00m 07s, Episode: 45, Steps: 248, epr: 3.61, Loss: 0.0 Score: 5.0, Done: True
Time: 00h 00m 07s, Episode: 46, Steps: 252, epr: 3.77, Loss: 0.0 Score: 11.0, Done: True
Time: 00h 00m 07s, Episode: 47, Steps: 253, epr: 4.0, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 07s, Episode: 48, Steps: 254, epr: 4.22, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 08s, Episode: 49, Steps: 260, epr: 4.22, Loss: 2.79e+02 Score: 4.0, Done: True
Time: 00h 00m 12s, Episode: 50, Steps: 264, epr: 4.29, Loss: 2.52e+02 Score: 8.0, Done: True
Time: 00h 00m 12s, Episode: 51, Steps: 269, epr: 4.38, Loss: 2.34e+02 Score: 9.0, Done: True
Time: 00h 00m 13s, Episode: 52, Steps: 273, epr: 4.51, Loss: 2.19e+02 Score: 11.0, Done: True
Time: 00h 00m 13s, Episode: 53, Steps: 277, epr: 4.61, Loss: 2.13e+02 Score: 10.0, Done: True
Time: 00h 00m 14s, Episode: 54, Steps: 287, epr: 4.4, Loss: 2e+02 Score: -7.0, Done: True
Time: 00h 00m 14s, Episode: 55, Steps: 294, epr: 4.36, Loss: 1.9e+02 Score: 2.0, Done: True
Time: 00h 00m 15s, Episode: 56, Steps: 301, epr: 4.35, Loss: 2.03e+02 Score: 4.0, Done: True
Time: 00h 00m 15s, Episode: 57, Steps: 311, epr: 3.83, Loss: 53.8 Score: -26.0, Done: False
Time: 00h 00m 15s, Episode: 58, Steps: 315, epr: 3.86, Loss: 2.19e+02 Score: 6.0, Done: True
Time: 00h 00m 16s, Episode: 59, Steps: 318, epr: 4.02, Loss: 2.09e+02 Score: 13.0, Done: True
Time: 00h 00m 16s, Episode: 60, Steps: 324, epr: 4.08, Loss: 1.95e+02 Score: 8.0, Done: True
Time: 00h 00m 17s, Episode: 61, Steps: 332, epr: 4.1, Loss: 1.86e+02 Score: 5.0, Done: True
Time: 00h 00m 17s, Episode: 62, Steps: 337, epr: 4.17, Loss: 1.69e+02 Score: 9.0, Done: True
Time: 00h 00m 18s, Episode: 63, Steps: 345, epr: 4.11, Loss: 1.62e+02 Score: 0.0, Done: True
Time: 00h 00m 18s, Episode: 64, Steps: 346, epr: 4.28, Loss: 43.0 Score: 15.0, Done: True
Time: 00h 00m 18s, Episode: 65, Steps: 348, epr: 4.39, Loss: 46.0 Score: 12.0, Done: True
Time: 00h 00m 19s, Episode: 66, Steps: 356, epr: 4.31, Loss: 1.28e+02 Score: -1.0, Done: True
Time: 00h 00m 19s, Episode: 67, Steps: 365, epr: 4.18, Loss: 1.25e+02 Score: -5.0, Done: True
Time: 00h 00m 20s, Episode: 68, Steps: 369, epr: 4.2, Loss: 44.4 Score: 6.0, Done: True
Time: 00h 00m 20s, Episode: 69, Steps: 373, epr: 4.31, Loss: 44.1 Score: 12.0, Done: True
Time: 00h 00m 21s, Episode: 70, Steps: 375, epr: 4.45, Loss: 1.04e+02 Score: 14.0, Done: True
Time: 00h 00m 21s, Episode: 71, Steps: 382, epr: 4.46, Loss: 39.3 Score: 5.0, Done: True
Time: 00h 00m 21s, Episode: 72, Steps: 383, epr: 4.6, Loss: 44.8 Score: 15.0, Done: True
Time: 00h 00m 22s, Episode: 73, Steps: 389, epr: 4.57, Loss: 87.8 Score: 2.0, Done: True
Time: 00h 00m 22s, Episode: 74, Steps: 394, epr: 4.6, Loss: 42.9 Score: 7.0, Done: True
Time: 00h 00m 23s, Episode: 75, Steps: 396, epr: 4.72, Loss: 83.3 Score: 14.0, Done: True
Time: 00h 00m 23s, Episode: 76, Steps: 406, epr: 4.42, Loss: 38.5 Score: -19.0, Done: False
Time: 00h 00m 24s, Episode: 77, Steps: 411, epr: 4.5, Loss: 75.8 Score: 11.0, Done: True
Time: 00h 00m 24s, Episode: 78, Steps: 419, epr: 4.44, Loss: 72.4 Score: 0.0, Done: True
Time: 00h 00m 24s, Episode: 79, Steps: 426, epr: 4.41, Loss: 79.4 Score: 2.0, Done: True
Time: 00h 00m 25s, Episode: 80, Steps: 432, epr: 4.44, Loss: 39.1 Score: 7.0, Done: True
Time: 00h 00m 25s, Episode: 81, Steps: 442, epr: 4.29, Loss: 37.8 Score: -8.0, Done: True
Time: 00h 00m 26s, Episode: 82, Steps: 452, epr: 4.04, Loss: 58.4 Score: -17.0, Done: False
Time: 00h 00m 26s, Episode: 83, Steps: 462, epr: 3.74, Loss: 31.6 Score: -21.0, Done: False
Time: 00h 00m 27s, Episode: 84, Steps: 472, epr: 3.71, Loss: 58.3 Score: 1.0, Done: True
Time: 00h 00m 27s, Episode: 85, Steps: 482, epr: 3.47, Loss: 37.7 Score: -17.0, Done: False
Time: 00h 00m 28s, Episode: 86, Steps: 484, epr: 3.57, Loss: 37.7 Score: 13.0, Done: True
Time: 00h 00m 28s, Episode: 87, Steps: 493, epr: 3.45, Loss: 45.3 Score: -7.0, Done: True
Time: 00h 00m 28s, Episode: 88, Steps: 503, epr: 3.11, Loss: 49.2 Score: -27.0, Done: False
Time: 00h 00m 29s, Episode: 89, Steps: 511, epr: 3.06, Loss: 41.9 Score: -2.0, Done: True
Time: 00h 00m 29s, Episode: 90, Steps: 512, epr: 3.19, Loss: 38.6 Score: 15.0, Done: True
Time: 00h 00m 30s, Episode: 91, Steps: 515, epr: 3.27, Loss: 38.7 Score: 11.0, Done: True
Time: 00h 00m 30s, Episode: 92, Steps: 521, epr: 3.27, Loss: 35.6 Score: 3.0, Done: True
Time: 00h 00m 31s, Episode: 93, Steps: 523, epr: 3.36, Loss: 34.2 Score: 12.0, Done: True
Time: 00h 00m 31s, Episode: 94, Steps: 529, epr: 3.42, Loss: 38.0 Score: 9.0, Done: True
Time: 00h 00m 31s, Episode: 95, Steps: 537, epr: 3.42, Loss: 40.0 Score: 3.0, Done: True
Time: 00h 00m 32s, Episode: 96, Steps: 538, epr: 3.54, Loss: 40.4 Score: 15.0, Done: True
Time: 00h 00m 32s, Episode: 97, Steps: 544, epr: 3.53, Loss: 35.7 Score: 3.0, Done: True
Time: 00h 00m 33s, Episode: 98, Steps: 545, epr: 3.65, Loss: 35.6 Score: 15.0, Done: True
Time: 00h 00m 33s, Episode: 99, Steps: 547, epr: 3.75, Loss: 34.2 Score: 14.0, Done: True
Time: 00h 00m 34s, Episode: 100, Steps: 551, epr: 3.8, Loss: 44.6 Score: 9.0, Done: True
Time: 00h 00m 34s, Episode: 101, Steps: 559, epr: 3.75, Loss: 32.2 Score: -2.0, Done: True
Time: 00h 00m 35s, Episode: 102, Steps: 569, epr: 3.57, Loss: 36.7 Score: -14.0, Done: False
Time: 00h 00m 35s, Episode: 103, Steps: 579, epr: 3.29, Loss: 37.6 Score: -26.0, Done: False
Time: 00h 00m 36s, Episode: 104, Steps: 580, epr: 3.4, Loss: 38.7 Score: 15.0, Done: True
Time: 00h 00m 36s, Episode: 105, Steps: 583, epr: 3.48, Loss: 37.7 Score: 12.0, Done: True
Time: 00h 00m 36s, Episode: 106, Steps: 592, epr: 3.49, Loss: 38.0 Score: 4.0, Done: True
Time: 00h 00m 37s, Episode: 107, Steps: 594, epr: 3.58, Loss: 36.9 Score: 14.0, Done: True
Time: 00h 00m 37s, Episode: 108, Steps: 598, epr: 3.64, Loss: 32.7 Score: 10.0, Done: True
Time: 00h 00m 38s, Episode: 109, Steps: 601, epr: 3.69, Loss: 42.8 Score: 9.0, Done: True
Time: 00h 00m 38s, Episode: 110, Steps: 602, epr: 3.79, Loss: 33.4 Score: 15.0, Done: True
Time: 00h 00m 39s, Episode: 111, Steps: 612, epr: 3.6, Loss: 38.7 Score: -18.0, Done: False
Time: 00h 00m 39s, Episode: 112, Steps: 616, epr: 3.65, Loss: 38.6 Score: 10.0, Done: True
Time: 00h 00m 40s, Episode: 113, Steps: 626, epr: 3.46, Loss: 31.2 Score: -19.0, Done: False
Time: 00h 00m 40s, Episode: 114, Steps: 633, epr: 3.47, Loss: 36.1 Score: 5.0, Done: True
Time: 00h 00m 40s, Episode: 115, Steps: 643, epr: 3.39, Loss: 35.5 Score: -6.0, Done: True
Time: 00h 00m 41s, Episode: 116, Steps: 644, epr: 3.49, Loss: 34.6 Score: 15.0, Done: True
Time: 00h 00m 41s, Episode: 117, Steps: 647, epr: 3.56, Loss: 29.7 Score: 12.0, Done: True
Time: 00h 00m 42s, Episode: 118, Steps: 654, epr: 3.55, Loss: 38.9 Score: 3.0, Done: True
Time: 00h 00m 42s, Episode: 119, Steps: 655, epr: 3.65, Loss: 37.2 Score: 15.0, Done: True
Time: 00h 00m 43s, Episode: 120, Steps: 658, epr: 3.73, Loss: 41.8 Score: 13.0, Done: True
Time: 00h 00m 43s, Episode: 121, Steps: 660, epr: 3.81, Loss: 38.6 Score: 14.0, Done: True
Time: 00h 00m 44s, Episode: 122, Steps: 661, epr: 3.9, Loss: 30.3 Score: 15.0, Done: True
Time: 00h 00m 44s, Episode: 123, Steps: 663, epr: 3.98, Loss: 35.5 Score: 14.0, Done: True
Time: 00h 00m 45s, Episode: 124, Steps: 664, epr: 4.07, Loss: 45.9 Score: 15.0, Done: True
Time: 00h 00m 45s, Episode: 125, Steps: 671, epr: 4.06, Loss: 37.4 Score: 3.0, Done: True
Time: 00h 00m 45s, Episode: 126, Steps: 673, epr: 4.14, Loss: 43.3 Score: 14.0, Done: True
Time: 00h 00m 46s, Episode: 127, Steps: 676, epr: 4.2, Loss: 41.5 Score: 12.0, Done: True
Time: 00h 00m 46s, Episode: 128, Steps: 678, epr: 4.28, Loss: 41.9 Score: 14.0, Done: True
Time: 00h 00m 47s, Episode: 129, Steps: 683, epr: 4.32, Loss: 41.5 Score: 9.0, Done: True
Time: 00h 00m 47s, Episode: 130, Steps: 685, epr: 4.38, Loss: 46.0 Score: 13.0, Done: True
Time: 00h 00m 48s, Episode: 131, Steps: 695, epr: 4.23, Loss: 29.1 Score: -16.0, Done: False
Time: 00h 00m 48s, Episode: 132, Steps: 700, epr: 4.24, Loss: 41.5 Score: 6.0, Done: True
Time: 00h 00m 49s, Episode: 133, Steps: 704, epr: 4.28, Loss: 39.2 Score: 9.0, Done: True
Time: 00h 00m 49s, Episode: 134, Steps: 705, epr: 4.36, Loss: 39.4 Score: 15.0, Done: True
Time: 00h 00m 50s, Episode: 135, Steps: 711, epr: 4.37, Loss: 36.1 Score: 6.0, Done: True
Time: 00h 00m 50s, Episode: 136, Steps: 720, epr: 4.29, Loss: 42.3 Score: -6.0, Done: True
Time: 00h 00m 51s, Episode: 137, Steps: 728, epr: 4.3, Loss: 35.5 Score: 5.0, Done: True
Time: 00h 00m 51s, Episode: 138, Steps: 738, epr: 4.11, Loss: 35.7 Score: -22.0, Done: False
Time: 00h 00m 52s, Episode: 139, Steps: 748, epr: 3.91, Loss: 58.3 Score: -24.0, Done: False
Time: 00h 00m 52s, Episode: 140, Steps: 756, epr: 3.94, Loss: 31.9 Score: 8.0, Done: True
Time: 00h 00m 52s, Episode: 141, Steps: 762, epr: 3.94, Loss: 32.2 Score: 5.0, Done: True
Time: 00h 00m 53s, Episode: 142, Steps: 765, epr: 4.0, Loss: 43.4 Score: 12.0, Done: True
Time: 00h 00m 53s, Episode: 143, Steps: 767, epr: 4.07, Loss: 39.2 Score: 14.0, Done: True
Time: 00h 00m 54s, Episode: 144, Steps: 775, epr: 4.03, Loss: 34.9 Score: -1.0, Done: True
Time: 00h 00m 54s, Episode: 145, Steps: 785, epr: 4.01, Loss: 43.1 Score: 1.0, Done: True
Time: 00h 00m 55s, Episode: 146, Steps: 790, epr: 4.05, Loss: 26.5 Score: 10.0, Done: True
Time: 00h 00m 55s, Episode: 147, Steps: 797, epr: 4.04, Loss: 33.2 Score: 2.0, Done: True
Time: 00h 00m 56s, Episode: 148, Steps: 798, epr: 4.11, Loss: 33.1 Score: 15.0, Done: True
Time: 00h 00m 56s, Episode: 149, Steps: 799, epr: 4.19, Loss: 34.5 Score: 15.0, Done: True
Time: 00h 00m 57s, Episode: 150, Steps: 801, epr: 4.25, Loss: 43.4 Score: 13.0, Done: True
Time: 00h 00m 57s, Episode: 151, Steps: 808, epr: 4.26, Loss: 38.9 Score: 7.0, Done: True
Time: 00h 00m 58s, Episode: 152, Steps: 818, epr: 4.09, Loss: 43.6 Score: -22.0, Done: False
Time: 00h 00m 58s, Episode: 153, Steps: 828, epr: 3.93, Loss: 28.1 Score: -21.0, Done: False
Time: 00h 00m 59s, Episode: 154, Steps: 831, epr: 3.98, Loss: 30.4 Score: 12.0, Done: True
Time: 00h 00m 59s, Episode: 155, Steps: 837, epr: 3.98, Loss: 38.4 Score: 4.0, Done: True
Time: 00h 01m 00s, Episode: 156, Steps: 844, epr: 3.95, Loss: 41.0 Score: -1.0, Done: True
Time: 00h 01m 00s, Episode: 157, Steps: 848, epr: 3.98, Loss: 38.4 Score: 9.0, Done: True
Time: 00h 01m 01s, Episode: 158, Steps: 851, epr: 4.03, Loss: 34.2 Score: 12.0, Done: True
Time: 00h 01m 01s, Episode: 159, Steps: 852, epr: 4.1, Loss: 37.7 Score: 15.0, Done: True
Time: 00h 01m 01s, Episode: 160, Steps: 862, epr: 3.93, Loss: 39.9 Score: -23.0, Done: False
Time: 00h 01m 02s, Episode: 161, Steps: 867, epr: 3.97, Loss: 34.7 Score: 10.0, Done: True
Time: 00h 01m 02s, Episode: 162, Steps: 875, epr: 3.94, Loss: 34.4 Score: -1.0, Done: True
Time: 00h 01m 03s, Episode: 163, Steps: 880, epr: 3.96, Loss: 29.8 Score: 8.0, Done: True
Time: 00h 01m 03s, Episode: 164, Steps: 889, epr: 3.94, Loss: 29.9 Score: 0.0, Done: True
Time: 00h 01m 04s, Episode: 165, Steps: 890, epr: 4.01, Loss: 32.2 Score: 15.0, Done: True
Time: 00h 01m 04s, Episode: 166, Steps: 900, epr: 3.86, Loss: 40.7 Score: -21.0, Done: False
Time: 00h 01m 05s, Episode: 167, Steps: 901, epr: 3.92, Loss: 38.7 Score: 15.0, Done: True
Time: 00h 01m 05s, Episode: 168, Steps: 907, epr: 3.94, Loss: 45.7 Score: 7.0, Done: True
Time: 00h 01m 06s, Episode: 169, Steps: 908, epr: 4.01, Loss: 38.5 Score: 15.0, Done: True
Time: 00h 01m 06s, Episode: 170, Steps: 910, epr: 4.06, Loss: 40.9 Score: 14.0, Done: True
Time: 00h 01m 07s, Episode: 171, Steps: 920, epr: 3.9, Loss: 37.9 Score: -24.0, Done: False
Time: 00h 01m 07s, Episode: 172, Steps: 922, epr: 3.96, Loss: 38.0 Score: 14.0, Done: True
Time: 00h 01m 08s, Episode: 173, Steps: 928, epr: 3.97, Loss: 36.1 Score: 5.0, Done: True
Time: 00h 01m 08s, Episode: 174, Steps: 929, epr: 4.03, Loss: 32.7 Score: 15.0, Done: True
Time: 00h 01m 09s, Episode: 175, Steps: 939, epr: 3.91, Loss: 32.2 Score: -17.0, Done: False
Time: 00h 01m 09s, Episode: 176, Steps: 940, epr: 3.97, Loss: 32.4 Score: 15.0, Done: True
Time: 00h 01m 10s, Episode: 177, Steps: 944, epr: 4.0, Loss: 36.8 Score: 9.0, Done: True
Time: 00h 01m 10s, Episode: 178, Steps: 946, epr: 4.05, Loss: 45.3 Score: 13.0, Done: True
Time: 00h 01m 11s, Episode: 179, Steps: 951, epr: 4.06, Loss: 33.4 Score: 5.0, Done: True
Time: 00h 01m 11s, Episode: 180, Steps: 953, epr: 4.11, Loss: 34.2 Score: 14.0, Done: True
Time: 00h 01m 12s, Episode: 181, Steps: 955, epr: 4.16, Loss: 41.7 Score: 14.0, Done: True
Time: 00h 01m 12s, Episode: 182, Steps: 964, epr: 4.14, Loss: 37.5 Score: 0.0, Done: True
Time: 00h 01m 13s, Episode: 183, Steps: 967, epr: 4.17, Loss: 35.6 Score: 10.0, Done: True
Time: 00h 01m 13s, Episode: 184, Steps: 976, epr: 4.14, Loss: 30.1 Score: -2.0, Done: True
Time: 00h 01m 14s, Episode: 185, Steps: 978, epr: 4.19, Loss: 37.7 Score: 14.0, Done: True
Time: 00h 01m 14s, Episode: 186, Steps: 986, epr: 4.17, Loss: 27.7 Score: 0.0, Done: True
Time: 00h 01m 15s, Episode: 187, Steps: 988, epr: 4.22, Loss: 36.4 Score: 14.0, Done: True
Time: 00h 01m 15s, Episode: 188, Steps: 990, epr: 4.27, Loss: 34.6 Score: 13.0, Done: True
Time: 00h 01m 16s, Episode: 189, Steps: 997, epr: 4.27, Loss: 33.1 Score: 4.0, Done: True
Time: 00h 01m 16s, Episode: 190, Steps: 1003, epr: 4.3, Loss: 32.6 Score: 10.0, Done: True
Time: 00h 01m 17s, Episode: 191, Steps: 1004, epr: 4.35, Loss: 35.8 Score: 15.0, Done: True
Time: 00h 01m 17s, Episode: 192, Steps: 1006, epr: 4.39, Loss: 31.5 Score: 12.0, Done: True
Time: 00h 01m 18s, Episode: 193, Steps: 1007, epr: 4.45, Loss: 38.7 Score: 15.0, Done: True
Time: 00h 01m 18s, Episode: 194, Steps: 1009, epr: 4.5, Loss: 33.2 Score: 14.0, Done: True
Time: 00h 01m 19s, Episode: 195, Steps: 1010, epr: 4.55, Loss: 35.1 Score: 15.0, Done: True
Time: 00h 01m 19s, Episode: 196, Steps: 1012, epr: 4.59, Loss: 40.5 Score: 13.0, Done: True
Time: 00h 01m 20s, Episode: 197, Steps: 1014, epr: 4.63, Loss: 43.3 Score: 12.0, Done: True
Time: 00h 01m 20s, Episode: 198, Steps: 1019, epr: 4.64, Loss: 36.4 Score: 6.0, Done: True
Time: 00h 01m 21s, Episode: 199, Steps: 1020, epr: 4.69, Loss: 35.6 Score: 15.0, Done: True
Time: 00h 01m 21s, Episode: 200, Steps: 1023, epr: 4.73, Loss: 36.0 Score: 13.0, Done: True
Time: 00h 01m 22s, Episode: 201, Steps: 1026, epr: 4.77, Loss: 35.4 Score: 13.0, Done: True
Time: 00h 01m 22s, Episode: 202, Steps: 1029, epr: 4.79, Loss: 37.4 Score: 9.0, Done: True
Time: 00h 01m 23s, Episode: 203, Steps: 1033, epr: 4.81, Loss: 32.6 Score: 9.0, Done: True
Time: 00h 01m 23s, Episode: 204, Steps: 1042, epr: 4.79, Loss: 33.9 Score: -1.0, Done: True
Time: 00h 01m 24s, Episode: 205, Steps: 1047, epr: 4.79, Loss: 40.3 Score: 6.0, Done: True
Time: 00h 01m 24s, Episode: 206, Steps: 1054, epr: 4.8, Loss: 38.1 Score: 7.0, Done: True
Time: 00h 01m 25s, Episode: 207, Steps: 1057, epr: 4.83, Loss: 36.0 Score: 10.0, Done: True
Time: 00h 01m 25s, Episode: 208, Steps: 1063, epr: 4.81, Loss: 37.5 Score: 2.0, Done: True
Time: 00h 01m 26s, Episode: 209, Steps: 1071, epr: 4.79, Loss: 39.0 Score: -1.0, Done: True
Time: 00h 01m 26s, Episode: 210, Steps: 1075, epr: 4.82, Loss: 28.8 Score: 12.0, Done: True
Time: 00h 01m 27s, Episode: 211, Steps: 1077, epr: 4.86, Loss: 35.1 Score: 14.0, Done: True
Time: 00h 01m 27s, Episode: 212, Steps: 1083, epr: 4.89, Loss: 27.9 Score: 10.0, Done: True
Time: 00h 01m 28s, Episode: 213, Steps: 1087, epr: 4.9, Loss: 35.9 Score: 8.0, Done: True
Time: 00h 01m 28s, Episode: 214, Steps: 1091, epr: 4.93, Loss: 31.2 Score: 11.0, Done: True
Time: 00h 01m 29s, Episode: 215, Steps: 1093, epr: 4.97, Loss: 32.2 Score: 14.0, Done: True
Time: 00h 01m 29s, Episode: 216, Steps: 1094, epr: 5.02, Loss: 49.9 Score: 15.0, Done: True
Time: 00h 01m 30s, Episode: 217, Steps: 1104, epr: 4.89, Loss: 41.1 Score: -22.0, Done: False
Time: 00h 01m 30s, Episode: 218, Steps: 1111, epr: 4.87, Loss: 38.4 Score: 0.0, Done: True
Time: 00h 01m 31s, Episode: 219, Steps: 1112, epr: 4.92, Loss: 32.6 Score: 15.0, Done: True
Time: 00h 01m 31s, Episode: 220, Steps: 1120, epr: 4.89, Loss: 50.8 Score: -2.0, Done: True
Time: 00h 01m 32s, Episode: 221, Steps: 1122, epr: 4.93, Loss: 27.3 Score: 14.0, Done: True
Time: 00h 01m 32s, Episode: 222, Steps: 1128, epr: 4.92, Loss: 28.2 Score: 4.0, Done: True
Time: 00h 01m 33s, Episode: 223, Steps: 1138, epr: 4.81, Loss: 34.5 Score: -20.0, Done: False
Time: 00h 01m 33s, Episode: 224, Steps: 1148, epr: 4.73, Loss: 39.9 Score: -14.0, Done: False
Time: 00h 01m 34s, Episode: 225, Steps: 1152, epr: 4.76, Loss: 34.0 Score: 11.0, Done: True
Time: 00h 01m 34s, Episode: 226, Steps: 1162, epr: 4.63, Loss: 42.5 Score: -23.0, Done: False
Time: 00h 01m 35s, Episode: 227, Steps: 1167, epr: 4.65, Loss: 43.8 Score: 9.0, Done: True
Time: 00h 01m 35s, Episode: 228, Steps: 1169, epr: 4.69, Loss: 45.3 Score: 13.0, Done: True
Time: 00h 01m 35s, Episode: 229, Steps: 1170, epr: 4.73, Loss: 41.4 Score: 15.0, Done: True
Time: 00h 01m 36s, Episode: 230, Steps: 1180, epr: 4.61, Loss: 27.3 Score: -23.0, Done: False
Time: 00h 01m 36s, Episode: 231, Steps: 1188, epr: 4.62, Loss: 28.2 Score: 7.0, Done: True
Time: 00h 01m 37s, Episode: 232, Steps: 1192, epr: 4.66, Loss: 22.8 Score: 12.0, Done: True
